"","varcode","russian","english","five_most_popular_values","number_of_valid","number_of_missing"
"576","rd8.6e","Сколько килограмм продали в натуральном или переработанном виде? Капусты ","How many pounds sold in natural or processed form? cabbage","0.0e+00 | 1.0e+08 | 1.0e+02 | 5.0e+01 | 3.0e+01 | 4.0e+01",1999,6150
"577","rd8.7a","За последние 12 месяцев Ваша семья собрала урожай лука чеснока? ","Over the last 12 months your family to harvest onions garlic?","Да | Нет",3342,4807
"578","rd8.7b","Сколько всего килограмм собрали? Лука чеснока ","How many pounds have collected? Onions garlic","1.00e+01 | 2.00e+01 | 3.00e+01 | 5.00e+00 | 5.00e+01 | 1.50e+01",2572,5577
"579","rd8.7c","Сколько килограмм потребили в семье в натуральном или переработанном виде? Лука чеснока ","How many pounds consumed in the home in natural or processed form? Onions garlic","5.0e+00 | 1.0e+01 | 3.0e+00 | 2.0e+00 | 1.0e+00 | 4.0e+00",2572,5577
"580","rd8.7d","Сколько килограмм отдали бесплатно родственникам и другим людям в натуральном или переработанном виде? Лука чеснока ","How many pounds have given free relatives and other people in natural or processed form? Onions garlic","0.0e+00 | 1.0e+01 | 5.0e+00 | 2.0e+00 | 2.0e+01 | 3.0e+00",2572,5577
"581","rd8.7e","Сколько килограмм продали в натуральном или переработанном виде? Лука чеснока ","How many pounds sold in natural or processed form? Onions garlic","0.0e+00 | 1.0e+08 | 1.0e+01 | 1.0e+02 | 3.0e+01 | 1.5e+01",2572,5577
"582","rd8.8a","За последние 12 месяцев Ваша семья собрала урожай кабачков патиссонов тыкв? ","Over the last 12 months your family to harvest zucchini squash pumpkins?","Да | Нет | НЕТ ОТВЕТА",3342,4807
"583","rd8.8b","Сколько всего килограмм собрали? Кабачков патиссонов тыкв ","How many pounds have collected? Zucchini squash pumpkins","2.00e+01 | 3.00e+01 | 1.00e+01 | 5.00e+01 | 1.50e+01 | 1.00e+02",1945,6204
"584","rd8.8c","Сколько килограмм потребили в семье в натуральном или переработанном виде? Кабачков патиссонов тыкв ","How many pounds consumed in the home in natural or processed form? Zucchini squash pumpkins","1.00e+01 | 2.00e+01 | 5.00e+00 | 1.50e+01 | 3.00e+01 | 5.00e+01",1945,6204
"585","rd8.8d","Сколько килограмм отдали бесплатно родственникам и другим людям в натуральном или переработанном виде? Кабачков патиссонов тыкв ","How many pounds have given free relatives and other people in natural or processed form? Zucchini squash pumpkins","0.0e+00 | 1.0e+01 | 2.0e+01 | 5.0e+00 | 3.0e+01 | 1.5e+01",1945,6204
"586","rd8.8e","Сколько килограмм продали в натуральном или переработанном виде? Кабачков патиссонов тыкв ","How many pounds sold in natural or processed form? Zucchini squash pumpkins","0.0e+00 | 1.0e+08 | 1.0e+01 | 1.0e+02 | 2.0e+01 | 5.0e+01",1945,6204
"587","rd8.9a","За последние 12 месяцев Ваша семья собрала урожай других овощей? ","Over the last 12 months your family to harvest other vegetables?","Нет | Да",3342,4807
"588","rd8.9b","Сколько всего килограмм собрали? Других овощей ","How many pounds have collected? other Vegetables","1.00e+01 | 2.00e+01 | 5.00e+00 | 1.50e+01 | 3.00e+01 | 3.00e+00",624,7525
"589","rd8.9c","Сколько килограмм потребили в семье в натуральном или переработанном виде? Других овощей ","How many pounds consumed in the home in natural or processed form? other Vegetables","1.0e+01 | 5.0e+00 | 3.0e+00 | 2.0e+00 | 1.0e+00 | 1.5e+01",624,7525
"590","rd8.9d","Сколько килограмм отдали бесплатно родственникам и другим людям в натуральном или переработанном виде? Других овощей ","How many pounds have given free relatives and other people in natural or processed form? other Vegetables","0.0e+00 | 5.0e+00 | 1.0e+01 | 2.0e+00 | 3.0e+00 | 1.0e+00",624,7525
"591","rd8.9e","Сколько килограмм продали в натуральном или переработанном виде? Других овощей ","How many pounds sold in natural or processed form? other Vegetables","0e+00 | 1e+01 | 1e+02 | 1e+08",624,7525
"592","rd9","Вы продавали в течение последних 30 дней что-либо из выращенного на Вашей земле в течение последних 12 месяцев? ","You have sold within the last 30 days any of grown on your land in the past 12 months?","Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ",273,7876
"593","re10","Ваша семья в течение последних 30 дней платила за жилье то есть за квартиру в том числе и аренду если Вы снимаете жилье  и коммунальные услуги? В 2013 г. в формулировку вопросов о коммунальных платежах были добавлены слова  в том числе и аренду если Вы снимаете жилье ","Your family in the last 30 days to pay for housing that is the rent including rent if you rent and utilities?  In 2013 in the wording of questions about the utility bills the words including the rent if you are renting","Да | Нет | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА | НЕТ ОТВЕТА",8149,0
"594","re11","Сколько рублей Ваша семья фактически заплатила в течение последних 30 дней за квартиру включая аренду и коммунальные услуги? В 2013 г. в формулировку вопросов о коммунальных платежах были добавлены слова  в том числе и аренду если Вы снимаете жилье ","How many rubles your family actually paid during the last 30 days of the sale including rent and utilities?  In 2013 in the wording of questions about the utility bills the words including the rent if you are renting","    3000.00 |     4000.00 |     5000.00 |     2500.00 |     3500.00 |     2000.00",7588,561
"595","re1.10a","Ваша семья покупала за последние 7 дней помидоры включая соленые? ","Your family bought in the last 7 days of tomatoes including salty?","Нет | Да | НЕТ ОТВЕТА",8149,0
"596","re1.10b","Сколько килограмм помидоров включая соленые Ваша семья купила в течение последних 7 дней? ","How many pounds of tomatoes including salted your family bought in the last 7 days?","1.00e+00 | 5.00e-01 | 2.00e+00 | 1.50e+00 | 3.00e+00 | 3.00e-01",2030,6119
"597","re1.10c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за помидоры включая соленые? ","How many rubles your family paid in the last 7 days for tomatoes including salty?","8.000e+01 | 5.000e+01 | 6.000e+01 | 1.000e+02 | 4.000e+01 | 1.200e+02",2030,6119
"598","re1.11a","Ваша семья покупала за последние 7 дней свеклу морковь и другие корнеплоды? ","Your family bought in the last 7 days beets carrots and other root vegetables?","Нет | Да | НЕТ ОТВЕТА",8149,0
"599","re1.11b","Сколько килограмм свеклы моркови и других корнеплодов Ваша семья купила в течение последних 7 дней? ","How many pounds of beets carrots and other root vegetables your family bought in the last 7 days?","1.00e+00 | 2.00e+00 | 5.00e-01 | 3.00e+00 | 1.50e+00 | 3.00e-01",1570,6579
"600","re1.11c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за свеклу морковь и другие корнеплоды? ","How many rubles your family paid in the last 7 days for beets carrots and other root vegetables?","3.00e+01 | 2.00e+01 | 4.00e+01 | 5.00e+01 | 1.50e+01 | 2.50e+01",1570,6579
"601","re1.12a","Ваша семья покупала за последние 7 дней лук чеснок? ","Your family bought in the last 7 days of the onion garlic?","Нет | Да | НЕТ ОТВЕТА",8149,0
"602","re1.12b","Сколько килограмм лука чеснока Ваша семья купила в течение последних 7 дней? ","How many pounds of onions garlic Your family bought in the last 7 days?","1.000e+00 | 2.000e+00 | 5.000e-01 | 3.000e+00 | 5.000e+00 | 1.500e+00",2174,5975
"603","re1.12c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за лук чеснок? ","How many rubles your family paid in the last 7 days of the onion garlic?","3.000e+01 | 2.000e+01 | 2.500e+01 | 1.500e+01 | 5.000e+01 | 4.000e+01",2174,5975
"604","re1.13a","Ваша семья покупала за последние 7 дней кабачки тыквы и тому подобное? ","Your family bought in the last 7 days squash pumpkins and the like?","Нет | Да | НЕТ ОТВЕТА",8149,0
"605","re1.13b","Сколько килограмм кабачков тыквы и тому подобного Ваша семья купила в течение последних 7 дней? ","How many pounds of zucchini squash and the like your family has bought in the last 7 days?","1.0e+00 | 2.0e+00 | 5.0e-01 | 3.0e+00 | 1.5e+00 | 2.5e+00",168,7981
"606","re1.13c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за кабачки тыквы и тому подобное? ","How many rubles your family paid in the last 7 days for squash pumpkins and the like?","      30 |       40 |       60 |      100 |       50 |       20",168,7981
"607","re1.14a","Ваша семья покупала за последние 7 дней другие овощи? ","Your family bought in the last 7 days other vegetables?","Нет | Да | НЕТ ОТВЕТА",8149,0
"608","re1.14b","Сколько килограмм других овощей Ваша семья купила в течение последних 7 дней? ","How many pounds of other vegetables your family bought in the last 7 days?","1.0e+00 | 2.0e+00 | 5.0e-01 | 3.0e-01 | 1.5e+00 | 2.0e-01",410,7739
"609","re1.14c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за другие овощи? ","How many rubles your family paid in the last 7 days for other vegetables?","1.00e+02 | 4.00e+01 | 3.00e+01 | 6.00e+01 | 8.00e+01 | 7.00e+01",410,7739
"610","re1.15a","Ваша семья покупала за последние 7 дней арбузы дыни включая соленые и сушеные? ","Your family bought in the last 7 days watermelons melons including salted and dried?","Нет | Да | НЕТ ОТВЕТА",8149,0
"611","re1.15b","Сколько килограмм арбузов дынь включая соленые и сушеные Ваша семья купила в течение последних 7 дней? ","How many pounds of watermelons melons including salted and dried your family bought in the last 7 days?","1.00e+01 | 5.00e+00 | 7.00e+00 | 6.00e+00 | 8.00e+00 | 1.00e+08",368,7781
"612","re1.15c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за арбузы дыни включая соленые и сушеные? ","How many rubles your family paid in the last 7 days for watermelons melons including salted and dried?","1.000e+02 | 1.200e+02 | 6.000e+01 | 1.500e+02 | 5.000e+01 | 7.000e+01",368,7781
"613","re1.16a","Ваша семья покупала за последние 7 дней фруктово-ягодные консервы? ","Your family bought in the last 7 days fruit and berry preserves?","Нет | Да | НЕТ ОТВЕТА",8149,0
"614","re1.16b","Сколько килограмм фруктово-ягодных консервов Ваша семья купила в течение последних 7 дней? ","How many pounds of fruit preserves your family bought in the last 7 days?","5.0e-01 | 1.0e+00 | 4.0e-01 | 8.0e-01 | 1.0e+08 | 3.0e-01",157,7992
"615","re1.16c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за фруктово- ягодные консервы? ","How many rubles your family paid in the last 7 days for fruktovo- berry preserves?","6.00e+01 | 5.00e+01 | 8.00e+01 | 1.00e+02 | 1.00e+08 | 4.00e+01",157,7992
"616","re1.17a","Ваша семья покупала за последние 7 дней свежие ягоды? ","Your family bought in the last 7 days of fresh berries?","Нет | Да | НЕТ ОТВЕТА",8149,0
"617","re1.17b","Сколько килограмм свежих ягод Ваша семья купила в течение последних 7 дней? ","How many pounds of fresh berries Your family bought in the last 7 days?","1.0e+00 | 2.0e+00 | 5.0e-01 | 1.5e+00 | 3.0e+00 | 4.0e+00",578,7571
"618","re1.17c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за свежие ягоды? ","How many rubles your family paid in the last 7 days for fresh berries?","1.000e+02 | 1.200e+02 | 6.000e+01 | 1.500e+02 | 7.000e+01 | 8.000e+01",578,7571
"619","re1.18a","Ваша семья покупала за последние 7 дней свежие фрукты? ","Your family bought in the last 7 days of fresh fruit?","Да | Нет | НЕТ ОТВЕТА",8149,0
"620","re1.18b","Сколько килограмм свежих фруктов Ваша семья купила в течение последних 7 дней? ","How many pounds of fresh fruit your family bought in the last 7 days?","2.00e+00 | 1.00e+00 | 3.00e+00 | 4.00e+00 | 5.00e+00 | 1.50e+00",5514,2635
"621","re1.18c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за свежие фрукты? ","How many rubles your family paid in the last 7 days for fresh fruit?","1.000e+02 | 2.000e+02 | 1.500e+02 | 3.000e+02 | 1.200e+02 | 6.000e+01",5514,2635
"622","re1.19a","Ваша семья покупала за последние 7 дней сушеные фрукты и ягоды? ","Your family bought in the last 7 days dried fruit and berries?","Нет | Да | НЕТ ОТВЕТА",8149,0
"623","re1.19b","Сколько килограмм сушеных фруктов и ягод Ваша семья купила в течение последних 7 дней? ","How many pounds of dried fruit and berries Your family bought in the last 7 days?","1.0e+00 | 5.0e-01 | 2.0e+00 | 3.0e-01 | 2.0e-01 | 6.0e-01",499,7650
"624","re1.19c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за сушеные фрукты и ягоды? ","How many rubles your family paid in the last 7 days for dried fruits and berries?","1.00e+02 | 1.50e+02 | 2.00e+02 | 6.00e+01 | 8.00e+01 | 3.00e+02",499,7650
"625","re1.1a","Ваша семья покупала за последние 7 дней белый хлеб? ","Your family bought in the last 7 days of white bread?","Да | Нет | НЕТ ОТВЕТА",8149,0
"626","re1.1b","Сколько килограмм белого хлеба Ваша семья купила в течение последних 7 дней? ","How many pounds of white bread your family bought in the last 7 days?","1.200e+00 | 2.000e+00 | 1.000e+00 | 8.000e-01 | 4.000e-01 | 3.000e+00",7034,1115
"627","re1.1c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за белый хлеб? ","How many rubles your family paid in the last 7 days for white bread?","6.000e+01 | 4.000e+01 | 1.000e+02 | 8.000e+01 | 1.400e+02 | 5.000e+01",7034,1115
"628","re12","Ваша семья имеет неоплаченные счета за жилье то есть за квартиру и коммунальные услуги? ","Your family has unpaid bills for housing that is the rent and utilities?","Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА",8149,0
"629","re1.20a","Ваша семья покупала за последние 7 дней орехи семечки? ","Your family bought in the last 7 days nuts seeds?","Нет | Да | НЕТ ОТВЕТА",8149,0
"630","re1.20b","Сколько килограмм орехов семечек Ваша семья купила в течение последних 7 дней? ","How many kilograms of nuts seeds Your family bought in the last 7 days?","2.00e-01 | 5.00e-01 | 3.00e-01 | 1.00e+00 | 1.00e-01 | 4.00e-01",1633,6516
"631","re1.20c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за орехи семечки? ","How many rubles your family paid in the last 7 days for nuts seeds?","1.000e+02 | 6.000e+01 | 5.000e+01 | 3.000e+01 | 4.000e+01 | 1.200e+02",1633,6516
"632","re12.1","Назовите сумму задолженности за квартиру и коммунальные услуги ","What amount of debt for an apartment and utilities","   10000 |     5000 | 99999997 |     3000 |     2000 |     4000",600,7549
"633","re1.21a","Ваша семья покупала за последние 7 дней мясные консервы? ","Your family bought in the last 7 days of canned meat?","Нет | Да | НЕТ ОТВЕТА",8149,0
"634","re1.21b","Сколько килограмм мясных консервов Ваша семья купила в течение последних 7 дней? ","How many pounds of canned meat your family bought in the last 7 days?","5.00e-01 | 1.00e+00 | 4.00e-01 | 7.00e-01 | 3.00e-01 | 8.00e-01",887,7262
"635","re1.21c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за мясные консервы? ","How many rubles your family paid in the last 7 days for canned meat?","7.000e+01 | 1.000e+02 | 1.200e+02 | 1.800e+02 | 1.600e+02 | 6.000e+01",887,7262
"636","re12.2","Если вспомнить последние 3 месяца сколько рублей в среднем в месяц должна была платить Ваша семья за квартиру включая аренду и коммунальные услуги за вычетом субсидий и льгот если они у Вас есть? В 2013 г. в формулировку вопросов о коммунальных платежах были добавлены слова  в том числе и аренду если Вы снимаете жилье ","If you recall the last 3 months how many rubles per month on average had to pay your family for an apartment including rent and utilities net of subsidies and incentives if you have them?  In 2013 in the wording of questions about the utility bills the words including the rent if you are renting","    3000.00 |     2000.00 |     4000.00 |     2500.00 |     5000.00 |     3500.00",8149,0
"637","re1.22a","Ваша семья покупала за последние 7 дней говядину телятину? ","Your family bought in the last 7 days beef veal?","Нет | Да | НЕТ ОТВЕТА",8149,0
"638","re1.22b","Сколько килограмм говядины телятины Ваша семья купила в течение последних 7 дней? ","How many pounds of beef veal Your family bought in the last 7 days?","1.00e+00 | 2.00e+00 | 3.00e+00 | 1.50e+00 | 5.00e+00 | 5.00e-01",1956,6193
"639","re1.22c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за говядину телятину? ","How many rubles your family paid in the last 7 days for beef veal?","5.000e+02 | 3.000e+02 | 6.000e+02 | 4.000e+02 | 2.500e+02 | 1.000e+03",1956,6193
"640","re12.3","Сколько киловатт электроэнергии Ваша семья потребила в течение сентября текущего года? ","How many kilowatts of electricity your household consumed during September this year?","99999997 |      100 |      200 |      150 |      120 |      300",8149,0
"641","re1.23a","Ваша семья покупала за последние 7 дней баранину козлятину? ","Your family bought in the last 7 days mutton goat meat?","Нет | Да | НЕТ ОТВЕТА",8149,0
"642","re1.23b","Сколько килограмм баранины козлятины Ваша семья купила в течение последних 7 дней? ","How many pounds of mutton goat meat your family bought in the last 7 days?","1.00e+00 | 2.00e+00 | 1.00e+01 | 5.00e+00 | 3.00e+00 | 1.50e+00",184,7965
"643","re1.23c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за баранину козлятину? ","How many rubles your family paid in the last 7 days for mutton goat meat?","     500 |      400 |      300 |      600 |      250 |     1200",184,7965
"644","re1.24a","Ваша семья покупала за последние 7 дней свинину? ","Your family bought in the last 7 days of pork?","Нет | Да | НЕТ ОТВЕТА",8149,0
"645","re1.24b","Сколько килограмм свинины Ваша семья купила в течение последних 7 дней? ","How many pounds of pork Your family bought in the last 7 days?","2.00e+00 | 1.00e+00 | 3.00e+00 | 1.50e+00 | 5.00e-01 | 5.00e+00",2605,5544
"646","re1.24c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за свинину? ","How many rubles your family paid in the last 7 days for pork?","5.0000e+02 | 6.0000e+02 | 3.0000e+02 | 4.0000e+02 | 2.0000e+02 | 2.5000e+02",2605,5544
"647","re1.25a","Ваша семья покупала за последние 7 дней субпродукты: печень почки и так далее? ","Your family bought in the last 7 days offal: liver kidneys and so on?","Нет | Да | НЕТ ОТВЕТА",8149,0
"648","re1.25b","Сколько килограмм субпродуктов: печени почек и так далее Ваша семья купила в течение последних 7 дней? ","How many kilograms of offal: liver kidneys etc. Your family bought in the last 7 days?","1.00e+00 | 5.00e-01 | 2.00e+00 | 1.50e+00 | 8.00e-01 | 1.20e+00",1285,6864
"649","re1.25c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за субпродукты: печень почки и так далее? ","How many rubles your family paid in the last 7 days for offal: liver kidneys and so on?","1.200e+02 | 1.000e+02 | 1.500e+02 | 1.800e+02 | 8.000e+01 | 9.000e+01",1285,6864
"650","re1.26a","Ваша семья покупала за последние 7 дней птицу? ","Your family bought in the last 7 days of the bird?","Да | Нет | НЕТ ОТВЕТА",8149,0
"651","re1.26b","Сколько килограмм птицы Ваша семья купила в течение последних 7 дней? ","How many pounds of poultry Your family bought in the last 7 days?","1.00e+00 | 2.00e+00 | 1.50e+00 | 3.00e+00 | 1.20e+00 | 1.30e+00",4729,3420
"652","re1.26c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за птицу? ","How many rubles your family paid in the last 7 days for a bird?","2.0000e+02 | 1.5000e+02 | 3.0000e+02 | 1.2000e+02 | 1.3000e+02 | 1.8000e+02",4729,3420
"653","re1.27a","Ваша семья покупала за последние 7 дней сало другие животные жиры? ","Your family bought in the last 7 days fat other animal fats?","Нет | Да | НЕТ ОТВЕТА",8149,0
"654","re1.27b","Сколько килограмм сала других животных жиров Ваша семья купила в течение последних 7 дней? ","How many pounds of lard and other animal fats your family bought in the last 7 days?","1.00e+00 | 5.00e-01 | 3.00e-01 | 2.00e+00 | 2.00e-01 | 4.00e-01",565,7584
"655","re1.27c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за сало другие животные жиры? ","How many rubles your family paid in the last 7 days for lard and other animal fats?","1.20e+02 | 2.00e+02 | 1.00e+02 | 1.50e+02 | 8.00e+01 | 9.00e+01",565,7584
"656","re1.28a","Ваша семья покупала за последние 7 дней колбасные изделия копчености? ","Your family bought in the last 7 days sausages smoked?","Да | Нет | НЕТ ОТВЕТА",8149,0
"657","re1.28b","Сколько килограмм колбасных изделий копченостей Ваша семья купила в течение последних 7 дней? ","How many pounds of sausage smoked Your family bought in the last 7 days?","1.00e+00 | 5.00e-01 | 2.00e+00 | 3.00e-01 | 4.00e-01 | 1.50e+00",5811,2338
"658","re1.28c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за колбасные изделия копчености? ","How many rubles your family paid in the last 7 days for sausages smoked?","3.0000e+02 | 2.0000e+02 | 1.5000e+02 | 1.0000e+02 | 1.8000e+02 | 1.2000e+02",5811,2338
"659","re1.29a","Ваша семья покупала за последние 7 дней мясные полуфабрикаты? ","Your family bought in the last 7 days meat products?","Нет | Да | НЕТ ОТВЕТА",8149,0
"660","re1.29b","Сколько килограмм мясных полуфабрикатов Ваша семья купила в течение последних 7 дней? ","How many pounds of meat semifinished items your family has bought in the last 7 days?","1.0e+00 | 5.0e-01 | 2.0e+00 | 1.5e+00 | 9.0e-01 | 3.0e+00",1693,6456
"661","re1.29c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за мясные полуфабрикаты? ","How many rubles your family paid in the last 7 days for meat products?","2.000e+02 | 1.500e+02 | 1.000e+02 | 1.200e+02 | 1.800e+02 | 1.300e+02",1693,6456
"662","re1.2a","Ваша семья покупала за последние 7 дней черный хлеб? ","Your family bought in the last 7 days of black bread?","Да | Нет | НЕТ ОТВЕТА",8149,0
"663","re1.2b","Сколько килограмм черного хлеба Ваша семья купила в течение последних 7 дней? ","How many pounds of bread your family bought in the last 7 days?","1.00e+00 | 8.00e-01 | 2.00e+00 | 1.20e+00 | 4.00e-01 | 6.00e-01",5623,2526
"664","re1.2c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за черный хлеб? ","How many rubles your family paid in the last 7 days for black bread?","4.000e+01 | 6.000e+01 | 2.000e+01 | 3.000e+01 | 1.800e+01 | 8.000e+01",5623,2526
"665","re1.30a","Ваша семья покупала за последние 7 дней молочные консервы сухое молоко? ","Your family bought in the last 7 days canned milk powdered milk?","Нет | Да | НЕТ ОТВЕТА",8149,0
"666","re1.30b","Сколько килограмм молочных консервов сухого молока Ваша семья купила в течение последних 7 дней? ","How many pounds of canned milk powdered milk your family bought in the last 7 days?","4.00e-01 | 5.00e-01 | 8.00e-01 | 1.00e+00 | 2.00e-01 | 3.00e-01",494,7655
"667","re1.30c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за молочные консервы сухое молоко? ","How many rubles your family paid in the last 7 days for canned milk powdered milk?","4.000e+01 | 5.000e+01 | 3.500e+01 | 4.500e+01 | 6.000e+01 | 1.000e+08",494,7655
"668","re13.10a","Тратила ли Ваша семья в течение последних 30 дней деньги на покупку валюты с целью сбережений? ","Does your family spend in the last 30 days the money to buy the currency for the purpose of savings?","Нет | Да | НЕТ ОТВЕТА",8149,0
"669","re13.10b","Сколько всего рублей Ваша семья истратила на покупку валюты с целью сбережений? ","How many rubles your family spent on the purchase of currency for the purpose of savings?","   12000 |    15000 |    21000 |    25000 |     3000 |    33600",14,8135
"670","re13.11a","Тратила ли Ваша семья в течение последних 30 дней деньги на оплату аренды дачи земли? ","Does your family spend in the last 30 days the money to pay rent villas land?","НЕТ ОТВЕТА",5,8144
"671","re13.11b","Сколько всего рублей Ваша семья истратила на оплату аренды дачи земли? ","How many rubles your family spent on payment of rent villas land?","    2000 | 99999997 |      800 |     1000 |      600 |      120",115,8034
"672","re13.12a","Тратила ли Ваша семья в течение последних 30 дней деньги на оплату стоянки транспорта аренду гаража? ","Does your family spend in the last 30 days the money to pay for the parking of transport rent a garage?","НЕТ ОТВЕТА",6,8143
"673","re13.12b","Сколько всего рублей Ваша семья истратила на оплату стоянки транспорта аренду гаража? ","How many rubles your family spent on parking fees transport rent a garage?","    1500 |     1000 |     2000 |     3000 |     1200 |     1800",225,7924
"674","re13.13a","Тратила ли Ваша семья в течение последних 30 дней деньги на уплату членских взносов в дачных гаражных кооперативах общественных или профессиональных организациях? ","Does your family spend in the last 30 days the money for the payment of membership fees in the villa garage cooperatives community or professional organizations?","НЕТ ОТВЕТА",4,8145
"675","re13.13b","Сколько всего рублей Ваша семья истратила на уплату  членских взносов в дачных гаражных кооперативах общественных или профессиональных организациях? ","How many rubles your family spent on payment of dues in the villa garage cooperatives community or professional organizations?","    3000 |     1000 |     1500 |      500 |     2000 |      300",251,7898
"676","re1.31a","Ваша семья покупала за последние 7 дней молоко кроме сухого? ","Your family bought in the last 7 days milk but dry?","Да | Нет | НЕТ ОТВЕТА",8149,0
"677","re13.1a","Тратила ли Ваша семья в течение последних 30 дней деньги на содержание и оплату занятий детей в дошкольных учреждениях школах секциях кружках на оплату частных  уроков репетиторов в том числе и на подарки педагогам? ","Does your family spend in the last 30 days money pay for the maintenance and employment of children in preschools schools sections mugs to pay for private tutoring tutors including gifts to teachers?","Нет | Да | НЕТ ОТВЕТА",8149,0
"678","re1.31b","Сколько литров молока кроме сухого Ваша семья купила в течение последних 7 дней? ","How many liters of milk but dry your family bought in the last 7 days?","3.00e+00 | 2.00e+00 | 1.00e+00 | 7.00e+00 | 4.00e+00 | 5.00e+00",6166,1983
"679","re13.1b","Сколько всего рублей Ваша семья истратила на содержание и оплату занятий детей в дошкольных учреждениях школах секциях кружках на оплату частных уроков репетиторов в том числе и на подарки педагогам? ","How many rubles your family spent on the maintenance and payment of employment of children in preschools schools sections mugs to pay for private tutoring tutors including gifts to teachers?","    1000 |     2000 |     1500 |     1200 |     3000 |      500",1624,6525
"680","re1.31c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за молоко кроме сухого? ","How many rubles your family paid in the last 7 days for milk but dry?","1.000e+02 | 9.000e+01 | 1.200e+02 | 6.000e+01 | 8.000e+01 | 2.000e+02",6166,1983
"681","re13.21a","Тратила ли Ваша семья в течение последних 30 дней деньги на билеты: в театр цирк кино на концерты в парки культуры и другие развлекательные мероприятия? ","Does your family spend in the last 30 days the money for the tickets theater circus cinema concerts parks culture and other recreational activities?","Нет | Да | НЕТ ОТВЕТА",8149,0
"682","re13.21b","Сколько всего рублей Ваша семья истратила на билеты: в театр цирк кино на концерты в парки культуры и другие развлекательные мероприятия? ","How many rubles your family spent on tickets theater circus cinema concerts parks culture and other recreational activities?","     500 |     1000 |      300 |      200 |      600 |     2000",1636,6513
"683","re13.22a","Тратила ли Ваша семья в течение последних 30 дней деньги на лечение обследование в стационарных лечебных учреждениях: больницах госпиталях клиниках исключая покупку лекарств? ","Does your family spend in the last 30 days the money for treatment examination in stationary medical institutions: hospitals hospitals clinics excluding the purchase of medicines?","Нет | Да | НЕТ ОТВЕТА",8149,0
"684","re13.22b","Сколько всего рублей Ваша семья истратила на лечение обследование в стационарных лечебных учреждениях: больницах госпиталях клиниках исключая покупку лекарств? ","How many rubles your family spent on treatment examination in stationary medical institutions: hospitals hospitals clinics excluding the purchase of medicines?","    2000 |     1000 |     5000 |     3000 |    10000 |     1500",411,7738
"685","re13.23a","Тратила ли Ваша семья в течение последних 30 дней деньги на лечение обследование в поликлиниках амбулаториях исключая покупку лекарств? ","Does your family spend in the last 30 days the money for treatment examination in clinics dispensaries excluding the purchase of medicines?","Нет | Да | НЕТ ОТВЕТА",8149,0
"686","re13.23b","Сколько всего рублей Ваша семья истратила на лечение обследование в поликлиниках амбулаториях исключая покупку лекарств? ","How many rubles your family spent on treatment screening in clinics dispensaries excluding the purchase of medicines?","    1000 |     2000 |     1500 |      500 |     3000 |     5000",481,7668
"687","re13.24a","Тратила ли Ваша семья в течение последних 30 дней деньги на лечение протезирование зубов исключая покупку лекарств? ","Does your family spend in the last 30 days the money for treatment prosthetics excluding the purchase of medicines?","Нет | Да | НЕТ ОТВЕТА",8149,0
"688","re13.24b","Сколько всего рублей Ваша семья истратила на лечение протезирование зубов исключая покупку лекарств? ","How many rubles your family spent on treatment prosthetics excluding the purchase of medicines?","    2000 |     1000 |     3000 |      500 |     5000 |      600",707,7442
"689","re1.32a","Ваша семья покупала за последние 7 дней кисломолочные продукты: кефир йогурт и другие? ","Your family bought in the last 7 days of dairy products: yogurt yogurt and others?","Да | Нет | НЕТ ОТВЕТА",8149,0
